time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2022-02-21,1345.56,1265.51,1341.11,21769.94,27681500.71,1271.55,multiply,ETH
2022-02-22,1300.45,1259.48,1271.55,36719.94,47554266.05,1295.05,multiply,ETH
2022-02-23,1307.12,1275.04,1295.05,41849.84,54330693.49,1298.23,multiply,ETH
2022-02-24,1318.24,1241.05,1298.23,38136.28,48613209.67,1274.72,multiply,ETH
2022-02-25,1275.99,1236.61,1274.72,21430.05,26874917.34,1254.08,multiply,ETH
2022-02-26,1276.63,1216.28,1254.08,21551.59,26637125.45,1235.97,multiply,ETH
2022-02-27,1259.16,1223.9,1235.97,18740.32,23424403.91,1249.95,multiply,ETH
2022-02-28,1262.97,1218.18,1249.95,28923.45,35748525.56,1235.97,multiply,ETH
2022-03-01,1244.55,1192.13,1235.97,29096.66,34982901.88,1202.3,multiply,ETH
2022-03-02,1224.85,1174.35,1202.3,22477.51,26717682.93,1188.64,multiply,ETH
2022-03-03,1252.49,1187.69,1188.64,33082.74,41278105.79,1247.72,multiply,ETH
2022-03-04,1270.91,1220.09,1247.72,31989.8,39223436.26,1226.12,multiply,ETH
2022-03-05,1256.62,1214.05,1226.12,19671.99,24588941.88,1249.95,multiply,ETH
2022-03-06,1262.65,1239.15,1249.95,17929.49,22558986.67,1258.21,multiply,ETH
2022-03-07,1263.29,1239.46,1258.21,22547.43,28283359.25,1254.39,multiply,ETH
2022-03-08,1259.16,1228.35,1254.39,21733.25,26972108.36,1241.05,multiply,ETH
2022-03-09,1264.24,1228.66,1241.05,26690.69,33217813.44,1244.55,multiply,ETH
2022-03-10,1261.38,1233.75,1244.55,26948.96,33659086.71,1248.99,multiply,ETH
2022-03-11,1306.17,1247.72,1248.99,27807.58,36144783.62,1299.82,multiply,ETH
2022-03-12,1321.74,1285.21,1299.82,32810.98,42825471.41,1305.22,multiply,ETH
2022-03-13,1315.7,1281.71,1305.22,23546.58,30224804.24,1283.62,multiply,ETH
2022-03-14,1303.31,1268.69,1283.62,32516.33,42141354.88,1296.01,multiply,ETH
2022-03-15,1314.11,1289.34,1296.01,25309.83,32785609.24,1295.37,multiply,ETH
2022-03-16,1304.9,1253.76,1295.37,28005.86,35726413.99,1275.68,multiply,ETH
2022-03-17,1275.99,1241.37,1275.68,22548.28,28048065.38,1243.91,multiply,ETH
2022-03-18,1246.45,1201.35,1243.91,26946.26,32585784.54,1209.29,multiply,ETH
2022-03-19,1262.34,1201.98,1209.29,26610.35,33481294.28,1258.21,multiply,ETH
2022-03-20,1282.66,1239.78,1258.21,26497.9,33760659.95,1274.09,multiply,ETH
2022-03-21,1291.24,1232.48,1274.09,26410.8,33674854.93,1275.04,multiply,ETH
2022-03-22,1316.65,1256.94,1275.04,38172.55,50126623.73,1313.16,multiply,ETH
2022-03-23,1328.41,1276.31,1313.16,28630.21,36704769.4,1282.03,multiply,ETH
2022-03-24,1304.58,1261.06,1282.03,30656.83,39643789.08,1293.15,multiply,ETH
2022-03-25,1296.32,1253.12,1293.15,28266.1,35842907.59,1268.05,multiply,ETH
2022-03-26,1270.59,1243.59,1268.05,20763.82,26184517.22,1261.06,multiply,ETH
2022-03-27,1279.81,1240.42,1261.06,22813.05,28507853.4,1249.63,multiply,ETH
2022-03-28,1264.24,1214.37,1249.63,34339.83,41777622.73,1216.59,multiply,ETH
2022-03-29,1222.95,1193.41,1216.59,32941.63,40003334.32,1214.37,multiply,ETH
2022-03-30,1243.91,1195.95,1214.37,30589.4,37632690.12,1230.25,multiply,ETH
2022-03-31,1238.83,1149.25,1230.25,48013.37,57482432.23,1197.22,multiply,ETH
2022-04-01,1204.21,1140.36,1197.22,20374.1,23382621.72,1147.66,multiply,ETH
2022-04-02,1162.28,1141.31,1147.66,22401.48,25787646.59,1151.16,multiply,ETH
2022-04-03,1167.68,1141.31,1151.16,21423.42,24893118.82,1161.96,multiply,ETH
2022-04-04,1165.13,1118.12,1161.96,26565.2,29922551.98,1126.38,multiply,ETH
2022-04-05,1150.52,1125.43,1126.38,23942.03,27386144.85,1143.85,multiply,ETH
2022-04-06,1157.83,1119.71,1143.85,31055.64,34783205.33,1120.03,multiply,ETH
2022-04-07,1134.01,1111.13,1120.03,21586.06,24238715.81,1122.89,multiply,ETH
2022-04-08,1123.21,1090.8,1122.89,45855.41,50499982.94,1101.29,multiply,ETH
2022-04-09,1106.69,1093.98,1101.29,20824.13,22867203.4,1098.11,multiply,ETH
2022-04-10,1105.73,1090.8,1098.11,16620.67,18187983.93,1094.3,multiply,ETH
2022-04-11,1108.28,1078.42,1094.3,29587.04,32320681.05,1092.39,multiply,ETH
2022-04-12,1104.78,1086.04,1092.39,19840.82,21818932.04,1099.7,multiply,ETH
2022-04-13,1148.62,1085.72,1099.7,27626.74,31109475.49,1126.06,multiply,ETH
2022-04-14,1143.22,1116.53,1126.06,20663.22,23333743.18,1129.24,multiply,ETH
2022-04-15,1183.24,1127.02,1129.24,26937.81,31223598.78,1159.1,multiply,ETH
2022-04-16,1189.91,1156.88,1159.1,15676.19,18603480.14,1186.73,multiply,ETH
2022-04-17,1195.63,1146.71,1186.73,16653.01,19254885.28,1156.24,multiply,ETH
2022-04-18,1168.95,1150.21,1156.24,36623.78,42357532.65,1156.56,multiply,ETH
2022-04-19,1171.81,1145.44,1156.56,21306.72,24825198.77,1165.13,multiply,ETH
2022-04-20,1166.09,1136.86,1165.13,17393.84,20078312.19,1154.33,multiply,ETH
2022-04-21,1162.59,1130.51,1154.33,17240.87,19589571.04,1136.23,multiply,ETH
2022-04-22,1154.33,1127.97,1136.23,14092.6,15918410.0,1129.56,multiply,ETH
2022-04-23,1153.06,1127.97,1129.56,12396.23,14120390.9,1139.09,multiply,ETH
2022-04-24,1142.9,1123.52,1139.09,13141.28,14939847.9,1136.86,multiply,ETH
2022-04-25,1140.36,1097.16,1136.86,24623.93,27196240.15,1104.46,multiply,ETH
2022-04-26,1123.21,1098.11,1104.46,22290.29,24838313.96,1114.31,multiply,ETH
2022-04-27,1120.03,1100.02,1114.31,20608.89,22794505.59,1106.05,multiply,ETH
2022-04-28,1126.7,1093.03,1106.05,30603.11,34188869.5,1117.17,multiply,ETH
2022-04-29,1136.86,1107.96,1117.17,21969.61,24864800.48,1131.78,multiply,ETH
2022-04-30,1144.17,1099.06,1131.78,17503.31,19543049.09,1116.53,multiply,ETH
2022-05-01,1132.42,1097.48,1116.53,18331.62,20462062.75,1116.22,multiply,ETH
2022-05-02,1130.83,1112.09,1116.22,16650.98,18633706.52,1119.08,multiply,ETH
2022-05-03,1140.68,1117.49,1119.08,14515.15,16464865.5,1134.32,multiply,ETH
2022-05-04,1154.02,1128.29,1134.32,23317.2,26775125.08,1148.3,multiply,ETH
2022-05-05,1153.38,1113.99,1148.3,19656.89,22003791.24,1119.39,multiply,ETH
2022-05-06,1144.49,1114.95,1119.39,20299.69,23142468.06,1140.04,multiply,ETH
2022-05-07,1153.06,1134.01,1140.04,18528.85,21064782.18,1136.86,multiply,ETH
2022-05-08,1189.59,1134.64,1136.86,27772.3,32870136.48,1183.56,multiply,ETH
2022-05-09,1194.04,1076.51,1183.56,45545.3,49449560.3,1085.72,multiply,ETH
2022-05-10,1101.92,1055.23,1085.72,52934.09,57589437.43,1087.95,multiply,ETH
2022-05-11,1087.95,1004.09,1087.95,79730.16,80917099.5,1014.89,multiply,ETH
2022-05-12,1068.89,958.03,1014.89,127666.32,133338313.48,1044.43,multiply,ETH
2022-05-13,1094.93,1023.46,1044.43,49534.58,53104224.49,1072.06,multiply,ETH
2022-05-14,1080.0,1033.63,1072.06,32340.9,34373586.4,1062.85,multiply,ETH
2022-05-15,1077.78,1032.99,1062.85,33160.96,35097719.3,1058.4,multiply,ETH
2022-05-16,1069.52,1032.99,1058.4,30918.43,32616181.66,1054.91,multiply,ETH
2022-05-17,1134.64,1053.32,1054.91,35626.97,39507135.85,1108.91,multiply,ETH
2022-05-18,1136.55,1079.37,1108.91,38813.61,42473697.81,1094.3,multiply,ETH
2022-05-19,1137.5,1078.1,1094.3,33682.76,38239220.25,1135.28,multiply,ETH
2022-05-20,1139.41,1083.5,1135.28,36957.21,41076168.72,1111.45,multiply,ETH
2022-05-21,1130.51,1101.6,1111.45,16788.49,18830253.33,1121.62,multiply,ETH
2022-05-22,1140.36,1113.04,1121.62,23727.51,26432286.92,1113.99,multiply,ETH
2022-05-23,1131.15,1100.33,1113.99,24295.66,26964874.96,1109.86,multiply,ETH
2022-05-24,1133.05,1105.42,1109.86,18827.91,21237314.32,1127.97,multiply,ETH
2022-05-25,1128.29,1105.73,1127.97,14593.73,16266588.64,1114.63,multiply,ETH
2022-05-26,1125.11,1088.26,1114.63,28557.07,32084517.66,1123.52,multiply,ETH
2022-05-27,1136.23,1112.41,1123.52,25693.07,29119750.84,1133.37,multiply,ETH
2022-05-28,1143.85,1113.04,1133.37,22376.36,24991085.24,1116.85,multiply,ETH
2022-05-29,1127.02,1109.55,1116.85,15300.0,17063537.42,1115.26,multiply,ETH
2022-05-30,1122.25,1095.89,1115.26,20980.92,23039376.2,1098.11,multiply,ETH
2022-05-31,1124.16,1093.35,1098.11,19324.23,21600722.3,1117.81,multiply,ETH
